,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
3539,dream-0826-triplet-1,0,"What does 'drunk' cause?","Did you hear what Fred did last night? No,not yet. What happened to him? I guess he was a little drunk and he had a fight with his brother. Well, he got so mad that he drove his car straight into the front of a drugstore. What do you mean? I mean he drove inside. The front of the store was completely destroyed. I actually saw it just now as I walked by. The car is still inside the store. I'm afraid Fred is in trouble. Where is he now? I hear he's in the police station. It's lucky no one was hurt. ",causes,gen,"do","got so mad","had a fight","last night",2
4012,dream-0496-triplet-16,0,"What is 'been feeling like this for two weeks' the social norm for?","Good morning, Mrs. Wong. How are you? I haven't seen you around the building for the last couple of weeks. Is everything alright? Morning, Mr. Jones. No, I haven't been out much recently. I've been feeling a bit under the weather. I'm sorry to hear that. I hope you don't mind me saying, but you don't look very well. Your face is very pale. Perhaps you need some fresh air to bring the color back to your cheeks. It's a lovely day outside today. That's just what I thought. I'm going to go for a walk in the park and then pop into the supermarket. You look as if you've lost weight as well. I haven't been eating like I usually do. Usually, I love my food, but these last two weeks I just haven't felt cooking and I've eaten very little. Most unlike me. Have you been to the doctor? What did she say? I didn't bother going to the doctor. It's nothing serious. You never know. If you've been feeling like this for two weeks, it's worth getting a check-up just to be sure. ",social rule,gen,"haven't been eating","haven't been out","nothing serious","getting a check-up",3
3497,dream-0816-triplet-1,0,"What desire is caused by 'arrive one hour earlier'?","We want to take a train to New York. Regular or express train? How much time would I save if we took the express? About one hour. The next express train arrives in New York at 3:15. And how much more do I have to pay for the express? First class is 24 dollars more, and second class is 15 dollars more. As long as we can arrive one hour earlier, I don't mind paying a little extra. Then give me one second class ticket on the express, please. OK, one second class ticket. Here you are. Thank you. ",causes desire,gen,"second class ticket","pay for the express","Here you are","take a train to New York",1
2951,dream-0172-triplet-5,0,"What does 'got a cold.' cause?","Hi. Mike. How did your weekend go? Fine. I went back to visit my grandma in the countryside. Lucky you. What did you do there? I went for a walk in the hills with some of my friends. Was it good? Yes. the scenery was amazing. The whole hillside was very red. How wonderful! Do anything else? We went on a picnic on Sunday. Did you like it? Very enjoyable. By the way, Lisa. what about your Weekend? Don't ask me. Mike. What happened? I have got a cold. I could do nothing but lie in bed. Oh. dear. ",causes,gen,"scenery was amazing","lie in bed","Oh","your Weekend",1
3207,dream-0366-triplet-2,0,"What desire is caused by 'delicious'?","Would you like another piece of chicken? Yes, please. It's delicious. Did you cook it in Qianmen. How about some sandwiches? Oh, no. It's Kentucky Fried Chicken. I bought it in Qianmen. How about some sandwiches? Well, just one, please. Hmm, it's nice! You bought them in Kentucky Restau-rant al- so, didn't you? Yes, I did. Let me give you some more chicken. There's plenty more. No, thanks. I'm full I'd like a cup of tea, please. Ok. Here you are. Thank you. What a delicious supper! ",causes desire,gen,"give you some more chicken","Ok","like another piece of chicken","cook it",0
824,dream-0585-triplet-6,0,"What does 'it didn't work' cause?","Hi, Ben, we're having a party tonight. Do you want to come and join us? You can bring your girlfriend. Well, actually, Camilla and I are breaking up. What happened? Did you have an argument? No. She is really a very nice girl. Yeah, she is. She is pretty, caring, and easy-going. And she's a great cook! Well, you are right. But sometimes she's too caring... well, no... she's just possessive... and... a kind of control, you know... I need some space for myself. Oh? Did you talk with her about it? I've tried, but it didn't work. Oh, so, when are you going to tell her? Maybe tonight. I don't know. I don't know how to tell her. I know she is head over heels in love with you. She'll be badly hurt! I know. ",causes,gen,"argument","Camilla and I are breaking up","head over heels in love with you","tell her",1
4086,dream-0522-triplet-6,0,"When does 'small reception' happen?","Hello, Happy Time Catering Services, Vitoria speaking. How can I help you? Hello, Victoria. This is Joe Smith from country holidays. I wondered if you could do some catering for us next week, we are having a small reception. It's to launch our summer holiday advertising campaign. Will you be free? When exactly is it? Mr. Smith? April 21st, that's Thursday. Oh, sorry, no. It should be Friday. Oh, yes I can do that where will you be holding it? We thought we'd have that at head office and use the conference room, because there is enough room for everyone there. Ok. What sort of things would you like? Just a light lunch I think, so that people can eat while they move around and talk to each other. You did some thing similar for us last year. We'd be happy to have the same menu again. Right. I'll look at my diary and see what you had last time. Oh, I nearly forgot to ask you how many should I cater for? Well, I think most people will be able to come, perhaps around 30. No, let's say 35, to be sure. Right, thank you for getting in touch, Mr. Smith. I'll send you confirmation of the arrangements by the end of this week. Ok. ",happens in,gen,"how many should I cater for","move around","week","Friday",3
1113,mutual-0296-triplet-3,0,"What does 'she cried every night' cause?","oh , your baby is so cute . she 's cute , but i 'm very tired . she never sleep . after i gave birth , she slept a lot . now that she 's older , she is awake all night . does she cry a lot ? last week , she cried every night . at work , i feel tired all the time . i took her to the doctor and he said she was healthy . yes , it 's normal for babies to cry . you should hire a babysitter this weekend and sleep . ",causes,gen,"never sleep","she slept a lot","took her to the doctor","cry",2
2363,mutual-1077-triplet-2,0,"What is implied by 'had high marks in math'?","hi , alice . what are you doing ? i am looking at some old school photographs . can i have a look ? when was this photo taken ? that photo was taken more than 7 years ago . who is this girl ? that 's lily . at first i did n't like her because i thought that she was too serious . she always had high marks in math . one day i found that she was very friendly and helpful . then we became good friends . what does she do now ? i heard she went back to chicago and is now a teacher in a small town . ",implies,gen,"alice","old school photographs","she was too serious","very friendly and helpful",2
166,daily-dialogue-1092-triplet-1,0,"What happens after 'finish my work'?","Has everything been OK with you lately ? I haven ’ t been able to get a good night ’ s sleep lately . I ’ m exhausted ! Have you been too busy to get enough sleep ? I try to go to sleep , but I just can ’ t stay asleep . How late do you try to go to sleep ? I go to bed when I finish my work . Has anything in your day-to-day life been bothering you lately ? I am worried about how I am going to pay my tuition . You might consider listening to relaxing music as you go to sleep to clear your head . Doing something relaxing before I go to sleep sounds like a plan . ",happens before,gen,"get enough sleep","go to bed","pay my tuition","lately",1
1714,daily-dialogue-0441-triplet-4,0,"What is 'food wasn't all that exciting'?","Did you enjoy the restaurant ? I didn't really like it all that much . What do you think the problem was ? Well , they are pretty new . I just didn't feel that they were ready to open yet . How did you feel about the food ? The food wasn't all that exciting . I don't think that the service was good , either . Yes , the service certainly didn't add to the experience . Would you like to return to this restaurant ? Maybe we could try it again in a few months when things have settled down . ",is a,gen,"ready to open","new","food wasn't all that exciting","the problem",3
3345,dream-0426-triplet-9,0,"What does 'love gardening' cause?","Can you believe that we've finally found a house? Good for you. Tell me about the house! It doesn't look good outside. but it is lovely inside. How nice! How many bedrooms does it have? Well, it has three bedrooms, two bathrooms, one big sitting room and a modern kitchen. Then your two boys don't need to share a room. They are happy with it? Yeah, they can have their own rooms. What interests me most is the small garden before the house. You know I love gardening so much. ",causes,gen,"found a house","many bedrooms","doesn't look good outside","small garden before the house",3
3149,dream-0354-triplet-5,0,"What does 'had a fever.' cause?","Where were you yesterday? I was at home asleep. Asleep! I thought that you had to take an exam. I was sick. I had a fever. I couldn't get out of bed. You still look a little sick. You couldn't go back to bed. I'm going now. I just came here to speak to my professor. What did he tell you? He said that I'd be able to take a make-up. Well, that's all right then. Are you going straight home? I have to stop at the drugstore on the way. I need some aspirin. Do you think that you should walk that far? I have to walk. I didn't bring my car. 1 didn't think I'd be able to drive today. Well, take care of yourself. OK. Thanks. ",causes,gen,"have to stop at the drugstore","take a make-up","couldn't get out of bed","didn't think I'd be able to drive",2
1260,daily-dialogue-0048-triplet-2,0,"What is 'potatoes' used for?","Are we going to have dinner tonight ? What are you planning on making ? I'm not cooking dinner . The only way you're eating tonight is if you cook . I'm not sure what to cook for dinner . I don't know . What do you want to eat ? I have a taste for some chicken and potatoes . That sounds delicious . So are you planning on cooking it ? I already told you that I'm not cooking tonight . I'll cook dinner . I already know . Start cooking . ",used for,gen,"dinner","delicious","eat","cook",3
2261,mutual-1007-triplet-1,0,"What does 'saw beyonce and jay-z in concert together' cause?","hey , kathy . nice to see you . i just had the worst weekend of my life up in california 's wine country . it rained the whole time . how was your weekend ? i saw beyonce and jay-z in concert together . it cost about $ 200 , but it was worth every penny . The concert was good a good weekend",causes,gen,"worst weekend of my life","it was worth every penny","how was your weekend","worth every penny",1
2682,dream-0113-triplet-2,0,"What happens after 'get to the station'?","Hello, Amy. Are you coming to my birthday party? Yes, I am. How do I get to your house from the station? Well, call me when you get to the station and I'll come and pick you up in my car. Are you sure it won't be too much trouble? It's no trouble at all. It only takes about 15 minutes. Oh, I want to check your phone number. Is it 828816887? No. It's 81881688. Oh, really? I'm glad I checked. What time do you plan to arrive at the station? I plan to get there around 8:30. OK. See you then. See you. Goodbye. ",happens before,gen,"I am.","828816887","come and pick you up","call me",3
4136,daily-dialogue-0825-triplet-3,0,"What desire is caused by 'don't think this is fresh'?","Excuse me . Have you forgotten our drinks ? Sorry , I'll bring them to you right away . Why is it taking so long ? We are short of staff today . There is something wrong with this dish . What's wrong ? I don't think this is fresh . They were delivered this morning . Would you please ask the manager to come over ? ",causes desire,gen,"don't think this is fresh","ask the manager to come over","dish","forgotten our drinks",1
605,dream-0253-triplet-8,0,"Which goal motivates the act/action 'take maybe just two days off'?","Mr. Block, I need to take a few days off because my parents are coming over to visit. But it's not really a good idea to take time off right now, you know. Well, I know. But they've never been to the UK before and they don't speak English. Hmm, you know there are thousands of tourists in London who can't speak English and they manage to get around. Yes, I know but they really expect me to be there. It's culture. Chinese parents expect their children to do things like this. I know, but truly if they care about your education, they'll understand. Well, do you think I could take maybe just two days off? Ok, two days but you must catch up with all of the work and get all of the materials. they might have difficulty in moving around",motivated by goal,gen,"tourists","catch up with all of the work and get all of the materials","expect","culture",1
2465,mutual-1155-triplet-4,0,"What does 'i finished all my courses today' cause?","hi , maria , how 's it going ? good . i finished all my courses today , so i can relax . great . maybe you 'll have time for some traveling now . maybe , but i think i 'll stay at home this weekend . oh , well , why do n't you come to my house ? my family is coming over . we 're having a barbeque in the back garden . thanks . but it 's with your families , so you probably do n't want other people there . no , really . do n't worry , because i 'm inviting a few people from my class as well . i 'd really like you to come . ",causes,gen,"do n't want other people there","i can relax","relax","having a barbeque in the back garden",1
3690,dream-0859-triplet-1,0,"What is 'Football'?","What's your favourite sport, Susan? Football. Soccer or rugby? I prefer soccer. It's a splendid game. But, like most of us, I just watch it. I watch a soccer match nearly every Saturday afternoon either at the local stadium or on TV. What about you, John?Do you play football? I'm afraid not. And I don't watch it either. I know it's Britain's most popular outdoor game, but I never liked it, not even when I was at school. But don't you watch the Cup finals and the great international matches between British teams and other national teams? Very rarely. My favourite game is cricket. I used to be quite a good cricket player when I was at school and I've kept it up ever since. It's a very English game, isn't it? Yes, it is. It has become popular in the Commonwealth countries. Do you ever watch the matches between England and the other Commonwealth countries?They're very interesting and exciting. Yes, I watch them on TV. ",is a,gen,"Soccer","sport","game","play football",1
188,daily-dialogue-1103-triplet-5,0,"What does 'give free gifts' cause?","Have we sold out all the newspapers for today ? Yes . What a good job we have done ! Why are so many extra gifts left here ? Many customers didn't want them . How about giving them to that old man ? Good idea . By the way , do you think it's a good idea to give free gifts to attract customers ? I'm not sure , but still it did attract a large crowds today . I think it should be more useful to hand out some fliers which is also cheaper . But people can just throw them into the trash can as they turn around . That's true . Anyway , let's just finish out job and get back home . Okay . How tiring the job is ! the job is tiring",causes,gen,"did attract a large crowds today","sold out","good job","so many extra gifts left",0
2329,mutual-1051-triplet-4,0,"What does 'shortage of high school teachers' cause?","hey james , how 's the job search going ? hi , sharon . i had no idea . it would take so much time . it sure makes it difficult to prepare for final exams . how about you ? i was lucky . there seems to be a shortage of high school teachers now . i applied to 3 schools and each one offered me a position . ",causes,gen,"applied to 3 schools and each one offered me a position","job search","difficult","sharon",0
3299,dream-0402-triplet-1,0,"What does 'pressure' cause?","Are you all right, Mark? Is anything wrong? I'm so homesick, I could die. All this studying, all this pressure, I just can't stand it. It takes time to get used to all this. Yes. But, you know, I lost sleep last night. It seems like you've really got the blues. Have you heard from home recently? It's been almost a month since I got a letter from my mum. I'm going to write to her and explain the situation. By the way, do you have an envelope that I can borrow? Sorry, I don't have any. I hardly ever send any letters. The bookstore is closed today. Is there another place I can get some stamps? You can go to the post office on North Street to buy stamps. ",causes,gen,"lost sleep last night","I don't have any","explain the situation","I got a letter from my mum",0
3800,dream-0881-triplet-8,0,"What desire is caused by 'hate sitting in the sun'?","Would you please tell me about your best holiday, Nancy? Well, it was my trip in Nepal. We went there 10 years ago, doing some walking in the mountains. How long did you stay there? 20 days. 20 days! That's a long time. How far did you walk every day? Perhaps 15 kilometers. You have to climb up and down a lot every day. So, it was very hard. Yes, very hard. Sometimes, it's difficult to walk in the mountains where the air is very thin, and you have a lot of problems when breathing. What kind of equipment did you take? Not much. Only a bag, a sleeping bag and some warm clothing. We carried all the things by ourselves. And how was the food? There was rice and some vegetables, normally no meat. But it was good. What was the best thing about the trip? The walking and the exercise. I hate sitting in the sun and like to be out in the countryside. The air is very clean and it's very quiet. Nepal is a good place. You must go! ",causes desire,gen,"walking in the mountains","tell me about your best holiday","have to climb up and down","How far did you walk",0
2111,mutual-0015-triplet-1,0,"What does 'fall' cause?","alex , i ca n't believe you talked me into skiing into the rocky mountains . i 'm gon na die . look , mountains . if i fall , i 'm gon na die . you 'll be fine . it 's not that difficult . just like ice skating . dangerous",causes,gen,"look , mountains","i fall","fine","die",3
1437,daily-dialogue-0120-triplet-1,0,"Where is 'Pay' located?","Are you ready to order now , sir ? Yes , let me have this roast beef special . You have a choice of vegetables , green peas , lima beans or spinach . I will have the green peas and make sure the beef is well done . Yes , sir . What would you want to drink , coffee , tea or milk ? A cup of coffee , please , with cream and sugar . The cream and sugar are on the table , sir . Oh , yes . Would you like to order some dessert ? What comes with the special ? Ice cream , fresh fruit or chocolate cake . I think I will have a dish of Vanilla ice cream . Yes , sir . Waiter , may I have my check , please ? Here you are , sir . Pay the cashier at the door . Able to access without help.",at location,gen,"ready to order now","cashier","table","Yes , sir",1
2150,mutual-0034-triplet-2,0,"What does 'volunteer teacher in a mountain village in africa' cause?","anna just email to say that the managers meeting is put off till next monday . will you have everything ready by then , sabrina ? hey sabrina , what 's wrong ? i 'm so worried . i have n't heard from my sister for 2 weeks . how often do you call each other ? normally at least once a week . but she 's now a volunteer teacher in a mountain village in africa . i can only write her . ",causes,gen,"can only write her","what 's wrong","everything ready","managers meeting is put off",0
2550,daily-dialogue-3511-triplet-6,0,"What is 'red apples' distinct from?","What are you going to eat with your sandwich ? I think I'm going to eat a piece of fruit . What kind do you like ? I really like apples and grapes . What kind of apples do you like ? I love green apples . I don't like green apples . Really ? Why not ? Green apples are too sour for me . So , you like red apples better ? Yeah , I love red apples . I think green apples are a lot better . sweet",distinct from,gen,"apples","sandwich","fruit","green apples",3
454,dream-0209-triplet-2,0,"What happens after 'be off work'?","I'd like to pay a visit to the Smiths at 3:30 p.m. Will you go with me, Mary? I'd love to, but I won't be off work from my factory until 4:00 p.m. How about 4:15? I'll be free then, Jack. OK. Let's meet at the bus stop and take the No.5 bus to go there. Why not by bike? The bus would be crowded at that time. But my bike is broken. You can use your sister's new bike, can't you? Yes. I'll wait for you in front of the bookstore opposite the cinema. go to the store take the bike",happens before,gen,"go to the store","free","take the No.5 bus","wait for you",0
723,dream-0274-triplet-14,0,"What is implied by 'Please, please, can you help me'?","Please, please, can you help me? I seem to have lost my handbag. Calm down, Madam. Well, I'll have to fill out this report for you. What color is it, Madam? Well, it is a white one. How big is it? Mm, I guess it's about one foot long and seven inches tall. One foot long and seven inches tall. What's in the bag, Madam? There is a wallet, two keys, and a letter. And where did you leave it? I am sure I left it in the coffee shop on the 5th floor. Don't worry, Madam. I am sure we can find it. Now could you give me your name, your address and telephone number? being tensed report the lost item return the lost item when found",implies,gen,"being tensed","your name, your address and telephone number","What's in the bag","we can find it",0
2826,dream-0144-triplet-8,0,"What is 'take you home' obstructed by?","Hi! Nice to meet you, Nancy! Where were you yesterday? I didn't come because I was sick. You still look a little sick. You ought to go back to bed. I am going home now. Did you drive today? Oh, No, I don't have a car. I can take you home. Would you like a ride? Yes. Thanks a lot. Could you stop at the chemist's on the way? I need to buy some medicine. ",obstructed by,gen,"ride","Nice to meet you","don't have a car","bed",2
920,dream-0602-triplet-4,0,"What does 'stay at home' cause?","Hi, Jim. I haven't seen you for a few weeks. Oh, hi, Mary. I have been studying a lot for my final exam. Well, this semester is about over now. Yeah. My brother is coming for a visit this summer, and we'd like to see some of the country, but traveling is so expensive. Have you thought about camping? Camping? I've never done that. I think you'll really like it. You can rent the equipment you need. Is it cheap? Yeah, much cheaper than buying or staying at the hotel. Good idea. Here is my bus. I'll talk to you about this again and get all the details. got to leave now stay at home save money",causes,gen,"idea.","get all the details","thought about camping","haven't seen you for a few weeks",3
3597,dream-0835-triplet-7,0,"What happens after 'cover it with more soil'?","What are you doing, Mum? I'm planting cabbage. What's that in your hand? Cabbage seed. You see, I put some soil in the box, sow the seed carefully like this, and then cover it with more soil. I'll keep the box in the shade so that the sun doesn't burn the little plants. Is that all? No. Later, in a few weeks' time I'll put the little plants in the earth. Then I'll water them to stop the soil from getting too dry. Several weeks after that, I will plant them in rows in the field. Do you have to feed plants like you feed chickens? Or do they grow up by themselves? In fact they grow better if you feed them. When the plants are in the ground I'll put some powder on the soil. The powder is made from fish, blood and bones. It'll make the cabbage plants grow big and strong. Like me! ",happens before,gen,"feed plants","planting cabbage","water them","keep the box in the shade",3
2572,daily-dialogue-3519-triplet-2,0,"What is 'eggs'?","What are you thinking ? I ’ m thinking about where we shall spend our vocation . It ’ s about 7 o ’ clock . let ’ s have our breakfast first . Ok , dear.We will be late . What do you want ? A ham salad sandwich . Sorry , I didn ’ t prepare this . Then , I ’ d like some eggs and bread for breakfast instead . Ok , I ’ ll have it sent to you immediately . ",is a,gen,"prepare","breakfast","sent","want",1
1832,dream-0015-triplet-9,0,"What does 'I can not get up early on weekends' cause?","Are you free on the weekend? I haven't got any plans yet, why? There is an exhibition of Chinese paintings at the public library. Would you like to go with me? I'd love to, but when? How about Saturday morning? It's cooler in the morning and maybe less crowded. I'm afraid I can not get up early on weekends. I'd prefer Saturday afternoon. Believe me there won't be too many people. So, shall we meet at 2:00, Saturday afternoon? OK, that would be great. I'll be waiting for you at my home. ",causes,gen,"I haven't got any plans yet","How about Saturday morning","free on the weekend","prefer Saturday afternoon",3
606,dream-0255-triplet-1,0,"What does 'he kept changing channels on the remote' cause?","My mother got really annoyed with my father yesterday evening. Why? Did she complain about his cooking? Oh no. It was about watching television. Don't tell me he fell asleep in front of the television. No, he kept changing channels on the remote. ",causes,gen,"no","My mother got really annoyed with my father","Why","complain about his cooking",1
66,daily-dialogue-1024-triplet-5,0,"What does 'anniversary' cause?","Good morning , sir . May I help you ? It's our anniversary today . I am looking for the same flowers as the ones in her wedding bouquet . What do they look like ? White . How tall are they ? They are short , I guess . About the same height as those short flowers over there . Do they look like roses ? No , they look like little bells . Oh , lilies of the valley . No , I am sorry . We are all out of them right now . Oh , that's too bad . What about roses ? Ok . How many do you suggest ? As many as you like , sir . They are beautiful , aren't they ? Yes , they are . ",causes,gen,"help you","lilies of the valley","flowers","are",2
362,daily-dialogue-1209-triplet-7,0,"Where is 'change it' located?","Hello , I bought a China dress in your shop this morning . Yes ? I bought one size up by mistake . Oh , did you ? I wonder if you can change it to one size down . Yes , of course . Will you come with receipt ? Then I ’ ll come to your place later in the evening , and how late is your shop open ? Until 8 o'clock madam . We are looking forward to seeing you . shop is closed",at location,gen,"8 o'clock","?","one size down","shop",3
376,daily-dialogue-1213-triplet-8,0,"When does 'see the doctor' happen?","Hello , I need to come in and see the doctor . Are you scheduling a check-up , or are you ill ? I have really itchy skin and think I may have to have it looked at . Have you been feeling any joint aches with that rash ? No , but I have a low fever . I have times available for Tuesday or Wednesday . Which one would work best for you ? I want to come in on Wednesday . I can fit you in on that day at 10 I would prefer Dr . Smith . You can see the doctor of your choice then , and we will see you at your scheduled appointment time . ",happens in,gen,"low fever","see the doctor","check-up","scheduled appointment time",3
885,dream-0600-triplet-8,0,"What desire is caused by 'haven't swum for almost two years'?","Hi, Jenny. We will have our midterm exams next month. I plan to look for some important books and study at the library. Do you want to join me? Sure. I need to return some books. They are due today. Besides, I can also read some weekly publications, magazines and newspapers. Great. We can go to the swimming pool in the gymnasium after that. Sounds a good idea. Summer is approaching. Today's temperature has reached 35 degree Centigrade. Are you good at swimming? Well, that's a good question. I haven't swum for almost two years. I think I need more practice. Oh, it's almost 9. I need to hurry. I am running late now. See you after class at the gate of the library then. Bye! See you then. go to the library do well in midterm exams reach class in time cool down and relax in water",causes desire,gen,"read","swum","library","need more practice",3
2782,dream-0136-triplet-1,0,"Which goal motivates the act/action 'want a reservation'?","Hello. Milton Hotel. Can I help you? I want a reservation. Can I have it now? Of course. What kind of taste do you like for your dinner? I prefer Chinese dishes. Would you like to sit in a smoking section, a non-smoking section or an open one? A non-smoking section. I'm awfully sorry, but we haven't got the section left now. Would you like to wait for a while? Not at all. An open section will do, too. OK. See you then. ",motivated by goal,gen,"Can I have it","wait","prefer Chinese dishes","dinner",3
3029,dream-0315-triplet-4,0,"What is implied by 'wonderful meal'?","Well, I'm afraid my cooking isn't to your taste. Actually, I like it very much. I'm glad you enjoy it. Let me serve you some more fish. No, thank you. I've had enough fish, but I'd like some soup. Here it is. Help yourself! Thanks. I didn't know you were so good at cooking. If only my wife could learn to cook from you. Why not bring your wife next time? I haven't seen her for quite a while. OK, I will. She will be very glad to see you, too. Thank you for the wonderful meal. ",implies,gen,"haven't seen her","you were so good at cooking","it is","my cooking isn't to your taste",1
297,daily-dialogue-1184-triplet-4,0,"What is 'printer' used for?","Hello ! How do I get online with my laptop ? Just plug the Ethernet cable into your computer , and you'll be online in a heartbeat . Well , I see the cable . But my computer runs on wireless only . No problem . I'll tell you about our alternatives . Yes , I'd love to hear what the alternatives are . Our state-of-the-art computer lab is on the first floor . Great ! But is it free ? Sir , the computers are free to guests , but you do have to pay a nominal printing fee . You said there were other alternatives ? Just use your computer here in the lobby . It's set up for wireless . Okay . That sounds like a winner . Now if I need to print something in the lobby ? We might have a printer here next month . But for now , you'll have to go to the lab . ",used for,gen,"alternatives","print something","wireless","a winner",1
2732,dream-0120-triplet-1,0,"What property does 'bus' have?","Hello, Mary. Why are you standing here? I'm waiting for a bus. The buses are so full at this time of the day. Sure. Where are you going? I don't think this is your way home. You are right. I'm going for a walk in the park. Going for a walk even after along day's work? Yes. I always enjoy walking alone in the park after work. I see. Then why not go there on foot? It's not so far from here. Oh, no. I hate walking through the streets. ",has property,gen,"not go there on foot","hate walking through the streets","full","?",2
2786,dream-0137-triplet-2,0,"What is 'go there by car' obstructed by?","Hello. This is Amy. Hello, Amy. This is Tom. Yes. What can I do for you? I want to go to New York by train today. Would you please look up a train time for me? Certainly, Hold on, please. Um... there's one at eleven p. m. It's a little late. Why don't you go there by car? My car is being repaired now. I have to go there by train. Do you think you have enough time? Yes. I'll try it. Thank you. Bye. ",obstructed by,gen,"a little late","Thank you","have enough time","car is being repaired",3
2350,mutual-1063-triplet-2,0,"What does 'he came to change the pipe' cause?","hey susan , how 's it going ? terrable . i 'm really unhappy at pat the house owner . when i came home yesterday the front door was wide open the cat was hiding in the closet and there was pat . he came to change the pipe but he did n't even tell me that he was coming . he does this all the time . last month , one day i was throwing a dinner party for 8 people . when i went out for a minute to buy some wine pat came to repair the broken light in my bedroom . i nearly had a heart attack when i walked in and found him there . ",causes,gen,"cat was hiding in the closet","the front door was wide open","nearly had a heart attack","repair the broken light",1
3655,dream-0848-triplet-5,0,"What desire is caused by 'it's awfully expensive'?","Excuse me, are you going to buy that book? Well, I need it for a class but it's awfully expensive. Oh, we must be in the same class. Introduction to British Literature? Yes, that's the one. Were you there yesterday for the first class? I sure was. Professor Robert really seems to know his subject. Yes, I took his Shakespeare course last semester and it was very good. He likes listening to his students. That's a relief. I'm a biology major and I was a little uncertain about taking an English course. I'm an English major and this is a required course. But now I'm in trouble because I'm not sure I can afford this book. Hey, I've got an idea. Why don't we split the cost and share the book? Sounds great. Do you live on campus? Yeah, I live on the 10th floor of Butler Hall. Perfect. I live on the 3rd floor of Butler. We should have no trouble sharing the book. I can bring it up to your room right after I wrap up the assignment. It's a deal. ",causes desire,gen,"the one.","split the cost","share the book","Perfect.",1
407,daily-dialogue-1248-triplet-5,0,"Where is 'catching a flight' located?","Hello , Mr . Black , I'm calling to say goodbye . You're leaving so soon ? I wish you stayed a little longer . I wish I could stay a little longer , but a lot of things to do back home . Have you got the ticket ? Yes , I did . What time are you going ? At 11:00 o'clock . I'll pick you up by nine o'clock and take you straight to the airport . No , I'll go by myself , thanks . OK , goodbye . catching a flight",at location,gen,"catching a flight","airport","leaving so soon","I did .",1
3967,dream-0493-triplet-8,0,"What property does 'Mary Brown' have?","Good morning, Mr Thompson. My name is Mary Brown. Good morning, Ms Brown. Take a seat, please. Thank you. Well, Ms Brown, could you please tell me about yourself? Yes, of course, I'm 18 years old and just graduated from Peterson Secretary School. I read your ad. in the newspaper and know that you are looking for a secretary. Could you tell me what you can do? I can do whatever a secretary is expected to do, such as typing, receiving phone calls, sending faxes, and writing reports. Well, it seems that your qualifications for the job are excellent. Could you tell me what kind of salary you are expecting? I saw in the ad. that this position offers a salary of around 2,013 a month. That's right. That would be fine with me. Is there anything you would like to know about the job? No, not so far. Good, thank you for coming, Ms Brown. I've enjoyed meeting and talking with you. We'll let you know the result as soon as possible. Thank you. I appreciate the time you've given me. ",has property,gen,"job","Good morning","typing","salary",2
3622,dream-0840-triplet-2,0,"What is implied by 'No general overview'?","What do you think of Professor Potter's course, Jane? Not much. Why, what's wrong with it? Oh, I don't know. It's just that he overloads it with details. The course he gave on town planning last year, it was just the same-a load of details, which you could have got from a book anyway. There was no overall ... No general overview you mean? Yes. I suppose you could call it that. I couldn't see the town for the buildings. But you've got to have the details in this kind of subject. Anyway I think he's good. You take his first lecture for instance. I thought that was very interesting, and not at all over-detailed. Well, he starts off all right, but then he just piles on the details. Now you're exaggerating. Well, the way he dealt with the Western developments, that wasn't bad, I suppose. You seem to have got something. Perhaps Potter is a little disorganized, but I think he's good. Do you really think so? He does do most of his teaching to the postgraduates. He only does the one undergraduate course each year. After all, I think he tends to forget where he is. He starts off being nice and general and then tries to cram in a bit too much specialized information. The main thing I object to is the lack of direction. ",implies,gen,"the lack of direction","forget where he is","No general overview","he overloads it with details",0
276,daily-dialogue-1178-triplet-7,0,"Where is 'played cards with the children' located?","Hello ! Hello , Debbie . This is Donald . Oh , hi , Donald . What happened yesterday ? You forgot our date , didn ’ t you ? Well , it rained hard all day and I had a bad cold , so I decided to stay home . You did ? But I tried to call you at least twenty times and nobody answered . Oh , the telephone lines were damaged by the storm . They repaired them yesterday . What did David do yesterday ? Did he and Judy go dancing ? No , they stayed home and played cards with the children . And what did you do ? Did you play cards , too ? No . I listened to records and studied , what did you do yesterday , Donald ? I just told you , Debbie . I tried to call you twenty times ! ",at location,gen,"home","dancing","Donald","tried to call you",0
1367,daily-dialogue-0087-triplet-4,0,"What does 'tragic movie' cause?","Are you going to the movie theater with me tonight ? Is there anything good playing ? Titanic is playing tonight . It's a blockbuster . Really ? I want to go , too . OK , let's meet at the movie theater entrance tonight . Don ’ t be late . No problem . ( After watching the movie . ) Are you crying ? I get a lump in my throat whenever I see a tragic movie . Tragic movie ? I think it's a love story . But their love is touching ! Ah , you're just too emotional . I am not ! ",causes,gen,"want","Really","love is touching","crying",3
500,dream-0224-triplet-7,0,"Which goal motivates the act/action 'hitting the books all these days'?","It seems you've burned yourself out. Pardon. I'm afraid I didn't quite catch you. You look tired. You must have overworked yourself. Yes, a little bit. I've been hitting the books all these days. Why have you been studying so hard? I need to review my English. So that's what keeps you so busy recently! Yes, I've been tied up with my studies. Now, what worries me a lot is my English. But why? Your English is very good. Thank you. You are very kind. No, I'm telling the truth. As an American, I understand you quite well. It's very kind of you to say so. ",motivated by goal,gen,"review my English","keeps you so busy","understand you","very kind of you to say so",0
